timestamp,update,policy_loss,value_loss,entropy,kl_div,returns_mean,advantages_mean,batch_size,epochs_completed,entropy_coef,exploration_boosted,best_return,updates_since_improvement,value_pred_denorm_mean,value_residual_mean
2025-12-14T18:58:33.100723,1,0.045454688370227814,0.11222566664218903,1.386019229888916,0.005932807922363281,-0.28303062915802,-0.043834932148456573,64,1,0.015,False,-0.28303062915802,0,-0.2826434075832367,0.0003872215747833252
2025-12-14T18:58:33.205693,2,-0.0456707663834095,0.1970493197441101,1.3861057758331299,0.0021420400589704514,-0.2254609912633896,0.05183010175824165,64,1,0.015,False,-0.2254609912633896,0,-0.2511919140815735,-0.0257309228181839
2025-12-14T18:58:33.293817,3,-0.06839480996131897,0.07248944044113159,1.3861098289489746,-0.0014753006398677826,-0.28164875507354736,0.06673496961593628,64,1,0.015,False,-0.2254609912633896,1,-0.2582554817199707,0.02339327335357666
2025-12-14T18:58:33.377437,4,0.01377800852060318,0.10730912536382675,1.3861141204833984,-0.0029839761555194855,-0.2776002287864685,-0.017320558428764343,64,1,0.015,False,-0.2254609912633896,2,-0.2637198567390442,0.013880372047424316
2025-12-14T18:58:33.461955,5,-0.09073697030544281,0.06741538643836975,1.3861253261566162,-0.0032881833612918854,-0.28970593214035034,0.08473238348960876,64,1,0.015,False,-0.2254609912633896,3,-0.26566970348358154,0.0240362286567688
2025-12-14T18:58:33.546153,6,-0.03925783559679985,0.07762958109378815,1.3860602378845215,0.003534296527504921,-0.30754759907722473,0.036474861204624176,64,1,0.015,False,-0.2254609912633896,4,-0.2732897400856018,0.034257858991622925
2025-12-14T18:58:33.634807,7,-0.08640554547309875,0.15613329410552979,1.3859672546386719,6.970949470996857e-05,-0.23949846625328064,0.08291178196668625,64,1,0.015,False,-0.2254609912633896,5,-0.2691729664802551,-0.029674500226974487
2025-12-14T18:58:33.731687,8,-0.11637045443058014,0.1774858832359314,1.3858834505081177,0.001375008374452591,-0.22543829679489136,0.1018831729888916,64,1,0.015,False,-0.22543829679489136,0,-0.2615628242492676,-0.03612452745437622
2025-12-14T18:58:33.810501,9,-0.07576879113912582,0.14519761502742767,1.3857641220092773,-0.006402721628546715,-0.24460871517658234,0.06583915650844574,64,1,0.015,False,-0.22543829679489136,1,-0.25856462121009827,-0.01395590603351593
2025-12-14T18:58:33.891967,10,0.04904235154390335,0.22328239679336548,1.3855972290039062,0.004611944779753685,-0.2419658601284027,-0.0615825429558754,64,1,0.015,False,-0.22543829679489136,2,-0.2556705176830292,-0.013704657554626465
2025-12-14T18:58:33.979222,11,0.0996309369802475,0.11199411749839783,1.385413408279419,-0.00815068930387497,-0.28161871433258057,-0.10452500730752945,64,1,0.015,False,-0.22543829679489136,3,-0.25687360763549805,0.02474510669708252
2025-12-14T18:58:34.077523,12,-0.07935509085655212,0.14550885558128357,1.3850737810134888,-0.01006629504263401,-0.24491934478282928,0.06494089961051941,64,1,0.015,False,-0.22543829679489136,4,-0.2565826177597046,-0.011663272976875305
2025-12-14T18:58:34.170991,13,-0.03252199664711952,0.22033502161502838,1.3849608898162842,0.003924766555428505,-0.21488331258296967,0.013002227991819382,64,1,0.015,False,-0.21488331258296967,0,-0.2481742650270462,-0.03329095244407654
2025-12-14T18:58:34.244608,14,-0.10198752582073212,0.06969961524009705,1.3847053050994873,-0.0032240375876426697,-0.2820248603820801,0.07970491796731949,64,1,0.015,False,-0.21488331258296967,1,-0.2533523440361023,0.028672516345977783
2025-12-14T18:58:34.326065,15,0.10138297826051712,0.0401342548429966,1.3843955993652344,0.013537585735321045,-0.34631985425949097,-0.1326848268508911,64,1,0.015,False,-0.21488331258296967,2,-0.26006996631622314,0.08624988794326782
2025-12-14T18:58:34.406361,16,-0.03274558484554291,0.12263371050357819,1.3843238353729248,0.011157287284731865,-0.2759706974029541,0.005379863083362579,64,1,0.015,False,-0.21488331258296967,3,-0.2595028579235077,0.01646783947944641
2025-12-14T18:58:34.478551,17,-0.0038294047117233276,0.19629205763339996,1.3843170404434204,-0.006277095526456833,-0.2633272409439087,-0.01859799027442932,64,1,0.015,False,-0.21488331258296967,4,-0.25956496596336365,0.003762274980545044
2025-12-14T18:58:34.563849,18,-0.18677890300750732,0.03001633659005165,1.383744716644287,-0.008916851133108139,-0.30220329761505127,0.15536057949066162,64,1,0.015,False,-0.21488331258296967,5,-0.26365554332733154,0.03854775428771973
2025-12-14T18:58:34.643023,19,-0.11438781768083572,0.14041802287101746,1.3835556507110596,0.014976654201745987,-0.25308889150619507,0.08117464929819107,64,1,0.015,False,-0.21488331258296967,6,-0.2621501088142395,-0.009061217308044434
2025-12-14T18:58:34.738911,20,0.12746712565422058,0.13620391488075256,1.3833909034729004,0.00865231640636921,-0.2948313355445862,-0.1510564088821411,64,1,0.015,False,-0.21488331258296967,7,-0.26517805457115173,0.029653280973434448
2025-12-14T18:58:34.834691,21,-0.22684955596923828,0.1255001425743103,1.3831156492233276,-0.0010757427662611008,-0.24829405546188354,0.18993815779685974,64,1,0.015,False,-0.21488331258296967,8,-0.2630327343940735,-0.014738678932189941
2025-12-14T18:58:34.916737,22,0.004329688847064972,0.13335558772087097,1.383111596107483,0.00379900261759758,-0.26491275429725647,-0.03240327537059784,64,1,0.015,False,-0.21488331258296967,9,-0.2670939564704895,-0.0021812021732330322
2025-12-14T18:58:34.998680,23,0.13146468997001648,0.08480840921401978,1.3827705383300781,0.002163933590054512,-0.31968361139297485,-0.17924483120441437,64,1,0.015,False,-0.21488331258296967,10,-0.26976850628852844,0.04991510510444641
2025-12-14T18:58:35.079924,24,-0.008474789559841156,0.205327570438385,1.3824195861816406,0.013415701687335968,-0.23527339100837708,-0.026476390659809113,64,1,0.015,False,-0.21488331258296967,11,-0.2704482078552246,-0.035174816846847534
2025-12-14T18:58:35.159017,25,0.14554527401924133,0.07184930145740509,1.3826215267181396,0.0038689039647579193,-0.3250732421875,-0.1808290332555771,64,1,0.015,False,-0.21488331258296967,12,-0.2736705541610718,0.05140268802642822
2025-12-14T18:58:35.250108,26,0.10072632133960724,0.12949760258197784,1.3823667764663696,0.00186866894364357,-0.291513592004776,-0.1276027262210846,64,1,0.015,False,-0.21488331258296967,13,-0.27437448501586914,0.01713910698890686
2025-12-14T18:58:35.332924,27,-0.00842205435037613,0.10643253475427628,1.381468415260315,0.004272883757948875,-0.28595179319381714,-0.02458012104034424,64,1,0.015,False,-0.21488331258296967,14,-0.27555233240127563,0.010399460792541504
2025-12-14T18:58:35.415267,28,-0.13577304780483246,0.02788698300719261,1.3821206092834473,0.0020227599889039993,-0.309420108795166,0.10859961807727814,64,1,0.015,False,-0.21488331258296967,15,-0.2790977954864502,0.03032231330871582
2025-12-14T18:58:35.501446,29,-0.013338390737771988,0.10696707665920258,1.381834864616394,0.017099982127547264,-0.28667330741882324,-0.012144893407821655,64,1,0.015,False,-0.21488331258296967,16,-0.2833409309387207,0.003332376480102539
2025-12-14T18:58:35.583808,30,-0.012873683124780655,0.07334955781698227,1.3811829090118408,-0.009188754484057426,-0.3235664367675781,-0.015306271612644196,64,1,0.015,False,-0.21488331258296967,17,-0.28401222825050354,0.039554208517074585
2025-12-14T18:58:35.677775,31,-0.03251338005065918,0.15903998911380768,1.3818702697753906,0.0017358064651489258,-0.2440146952867508,-0.012335477396845818,64,1,0.015,False,-0.21488331258296967,18,-0.28511834144592285,-0.04110364615917206
2025-12-14T18:58:35.759887,32,-0.05177437141537666,0.16080915927886963,1.3814327716827393,0.008313558995723724,-0.25423672795295715,0.019338712096214294,64,1,0.015,False,-0.21488331258296967,19,-0.2841704785823822,-0.02993375062942505
2025-12-14T18:58:35.843487,33,0.10609288513660431,0.025776434689760208,1.3812053203582764,-0.025324910879135132,-0.3316962718963623,-0.1240013986825943,64,1,0.015,False,-0.21488331258296967,20,-0.2880004048347473,0.04369586706161499
